Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,101.900,0.957,0.482,0.671,0.822,1.077,1.491,1.820,2.644,3.599,1.045
10,99.000,0.897,0.497,0.641,0.740,0.988,1.363,1.656,2.852,7.599,1.115
20,100.500,0.872,0.483,0.627,0.726,0.977,1.355,1.626,2.306,7.202,1.147
30,100.500,0.887,0.475,0.631,0.735,0.970,1.427,1.752,2.381,4.653,1.127
40,104.300,0.912,0.457,0.632,0.761,1.033,1.470,1.753,2.417,3.275,1.097
50,101.800,0.882,0.477,0.616,0.729,0.986,1.398,1.749,2.507,8.420,1.133
60,103.700,0.878,0.468,0.625,0.739,0.977,1.358,1.636,2.631,3.600,1.139
70,108.800,0.891,0.479,0.629,0.740,0.980,1.406,1.752,2.519,5.669,1.123
80,105.000,0.876,0.487,0.618,0.734,0.985,1.415,1.690,2.367,3.342,1.141
90,104.600,0.890,0.471,0.626,0.741,1.007,1.414,1.751,2.762,3.640,1.124
100,105.800,0.889,0.480,0.634,0.762,1.020,1.378,1.669,2.299,3.885,1.125
110,102.700,0.907,0.474,0.631,0.746,1.017,1.465,1.776,2.475,4.358,1.103
120,101.000,0.916,0.484,0.659,0.782,1.016,1.396,1.704,2.444,6.176,1.092
130,101.100,0.886,0.480,0.641,0.742,0.996,1.363,1.677,2.449,3.363,1.129
140,102.800,0.878,0.444,0.637,0.744,0.962,1.365,1.658,2.296,3.961,1.139
150,100.400,0.895,0.456,0.640,0.752,0.992,1.382,1.668,2.326,7.634,1.117
160,112.300,0.863,0.490,0.622,0.726,0.951,1.364,1.654,2.321,6.816,1.158
170,132.800,0.815,0.451,0.608,0.702,0.897,1.202,1.516,2.293,2.990,1.227
180,127.000,0.851,0.479,0.624,0.719,0.908,1.240,1.510,2.349,10.385,1.176
190,132.800,0.808,0.453,0.603,0.684,0.862,1.196,1.436,2.326,8.300,1.237
200,142.100,0.790,0.460,0.602,0.684,0.860,1.158,1.417,1.948,7.607,1.266
210,138.000,0.816,0.475,0.609,0.695,0.898,1.198,1.468,2.329,6.174,1.225
220,126.200,0.830,0.489,0.609,0.693,0.888,1.239,1.523,2.289,7.137,1.205
230,135.100,0.828,0.486,0.607,0.685,0.885,1.211,1.492,2.522,14.498,1.207
240,134.200,0.850,0.492,0.619,0.706,0.899,1.249,1.532,2.469,9.234,1.177
250,132.700,0.829,0.470,0.612,0.702,0.911,1.249,1.574,2.098,3.261,1.207
260,133.400,0.799,0.480,0.599,0.679,0.871,1.140,1.414,2.251,4.879,1.252
270,138.700,0.819,0.469,0.610,0.693,0.894,1.231,1.514,2.208,4.940,1.221
280,141.600,0.808,0.449,0.604,0.692,0.875,1.189,1.448,2.152,8.363,1.237
290,127.300,0.817,0.471,0.606,0.692,0.860,1.143,1.514,2.471,6.994,1.225
300,130.200,0.834,0.480,0.615,0.697,0.898,1.198,1.516,2.250,14.419,1.199
310,136.300,0.843,0.468,0.621,0.716,0.936,1.282,1.602,2.226,5.320,1.186
320,139.500,0.837,0.478,0.613,0.701,0.908,1.267,1.609,2.282,5.413,1.194
330,128.900,0.843,0.474,0.622,0.713,0.936,1.263,1.594,2.369,5.242,1.186
340,133.500,0.820,0.488,0.616,0.696,0.882,1.189,1.477,2.509,4.354,1.219
350,122.900,0.843,0.479,0.614,0.705,0.927,1.267,1.647,2.362,5.226,1.186
360,137.500,0.819,0.464,0.609,0.698,0.882,1.223,1.491,2.219,6.206,1.221
370,136.800,0.832,0.467,0.625,0.712,0.884,1.242,1.523,2.282,5.677,1.201
380,133.400,0.823,0.457,0.620,0.701,0.890,1.184,1.483,2.317,5.518,1.216
390,132.900,0.834,0.435,0.614,0.695,0.897,1.266,1.571,2.510,6.087,1.199
400,129.900,0.846,0.482,0.624,0.713,0.927,1.207,1.568,2.732,4.741,1.182
410,131.000,0.828,0.469,0.617,0.702,0.876,1.196,1.513,2.449,7.875,1.208
420,136.400,0.834,0.491,0.622,0.717,0.918,1.246,1.533,2.235,4.961,1.199
430,135.400,0.811,0.458,0.614,0.694,0.886,1.171,1.495,2.186,4.624,1.233
440,131.600,0.824,0.437,0.614,0.697,0.907,1.218,1.513,2.438,3.823,1.214
450,129.900,0.827,0.472,0.614,0.712,0.909,1.182,1.503,2.495,5.424,1.209
460,129.300,0.838,0.483,0.625,0.718,0.921,1.262,1.527,2.272,3.164,1.193
470,81.600,0.920,0.479,0.637,0.756,1.005,1.432,1.816,2.829,9.473,1.086
480,67.700,0.853,0.489,0.639,0.726,0.908,1.246,1.604,2.578,3.389,1.172
490,122.700,0.833,0.477,0.620,0.698,0.907,1.249,1.520,2.263,5.587,1.200
500,126.200,0.842,0.467,0.623,0.718,0.899,1.191,1.608,2.547,6.445,1.188
510,131.400,0.821,0.468,0.622,0.706,0.879,1.227,1.484,2.197,3.627,1.218
520,131.800,0.837,0.462,0.618,0.709,0.917,1.234,1.541,2.273,7.478,1.195
530,133.700,0.822,0.492,0.617,0.708,0.887,1.162,1.454,2.175,7.504,1.217
540,128.300,0.815,0.496,0.620,0.698,0.899,1.177,1.456,2.125,6.854,1.227
550,129.800,0.815,0.467,0.614,0.696,0.884,1.211,1.518,2.283,2.834,1.227
560,135.200,0.828,0.463,0.627,0.714,0.903,1.200,1.526,2.150,3.303,1.208
570,129.800,0.841,0.458,0.622,0.703,0.887,1.263,1.579,2.608,9.735,1.189
580,126.000,0.820,0.488,0.619,0.710,0.892,1.213,1.466,2.181,3.188,1.219
590,126.900,0.854,0.464,0.620,0.719,0.927,1.290,1.612,2.391,8.473,1.171
600,137.900,0.844,0.483,0.623,0.701,0.905,1.286,1.673,2.370,5.313,1.185
610,122.800,0.835,0.438,0.618,0.704,0.902,1.212,1.504,2.268,9.537,1.197
620,126.200,0.853,0.478,0.622,0.708,0.914,1.295,1.622,2.522,8.267,1.173
630,136.400,0.818,0.464,0.614,0.690,0.882,1.169,1.522,2.306,4.959,1.223
640,136.100,0.832,0.465,0.602,0.682,0.878,1.217,1.564,2.589,13.760,1.202
650,129.900,0.822,0.467,0.604,0.695,0.899,1.219,1.592,2.227,5.613,1.217
660,132.000,0.826,0.460,0.606,0.685,0.888,1.254,1.552,2.317,10.343,1.211
670,127.900,0.806,0.462,0.606,0.691,0.875,1.186,1.447,2.146,4.997,1.240
680,126.200,0.820,0.469,0.606,0.699,0.892,1.188,1.503,2.538,4.566,1.220
690,133.400,0.803,0.450,0.601,0.685,0.883,1.199,1.454,2.065,5.773,1.246
700,125.700,0.842,0.454,0.607,0.700,0.898,1.270,1.608,3.060,5.055,1.188
710,133.100,0.845,0.469,0.613,0.713,0.939,1.309,1.631,2.180,3.618,1.184
720,132.200,0.825,0.456,0.612,0.686,0.873,1.241,1.557,2.476,6.024,1.213
730,128.700,0.819,0.462,0.600,0.685,0.892,1.229,1.564,2.206,5.694,1.222
740,131.100,0.826,0.483,0.607,0.692,0.893,1.251,1.585,2.294,4.538,1.211
750,133.500,0.832,0.460,0.606,0.699,0.892,1.225,1.535,2.253,10.041,1.202
760,139.900,0.828,0.478,0.605,0.682,0.910,1.281,1.535,2.265,5.258,1.208
770,137.300,0.827,0.458,0.609,0.692,0.894,1.222,1.593,2.461,5.772,1.210
780,132.300,0.828,0.470,0.611,0.701,0.882,1.203,1.469,2.590,8.691,1.208
790,129.200,0.821,0.476,0.599,0.696,0.896,1.238,1.518,2.276,5.215,1.218
800,138.200,0.847,0.455,0.610,0.705,0.921,1.300,1.635,2.398,6.822,1.181
810,135.500,0.856,0.460,0.618,0.714,0.924,1.272,1.662,2.615,5.346,1.168
820,117.900,0.849,0.452,0.612,0.714,0.925,1.354,1.627,2.433,6.851,1.177
830,131.000,0.795,0.455,0.598,0.676,0.869,1.184,1.464,2.013,4.125,1.258
840,133.100,0.846,0.468,0.612,0.703,0.908,1.330,1.649,2.505,5.958,1.182
850,133.200,0.829,0.454,0.606,0.688,0.894,1.248,1.607,2.288,8.216,1.206
860,128.000,0.812,0.460,0.607,0.693,0.879,1.199,1.520,2.308,5.767,1.231
870,129.600,0.840,0.476,0.616,0.714,0.916,1.236,1.637,2.238,4.633,1.190
880,129.500,0.821,0.463,0.610,0.690,0.893,1.222,1.496,2.351,6.402,1.218
890,124.500,0.848,0.486,0.614,0.706,0.919,1.344,1.715,2.474,3.858,1.179
900,126.200,0.845,0.482,0.620,0.706,0.896,1.213,1.516,2.498,9.366,1.183
910,124.200,0.812,0.466,0.610,0.698,0.900,1.173,1.453,1.960,5.856,1.232
920,124.900,0.841,0.460,0.611,0.698,0.908,1.318,1.651,2.588,6.211,1.189
930,130.600,0.819,0.464,0.610,0.703,0.899,1.215,1.467,2.144,7.929,1.221
940,120.900,0.826,0.459,0.615,0.710,0.907,1.212,1.519,2.220,3.395,1.210
950,124.700,0.828,0.484,0.610,0.694,0.884,1.219,1.566,2.439,7.035,1.207
960,131.500,0.830,0.480,0.609,0.690,0.889,1.222,1.678,2.563,4.157,1.205
970,132.400,0.812,0.456,0.602,0.692,0.881,1.225,1.518,2.185,3.366,1.232
980,132.900,0.821,0.500,0.609,0.689,0.886,1.212,1.559,2.208,6.293,1.218
990,134.300,0.838,0.471,0.613,0.712,0.916,1.243,1.565,2.284,5.148,1.193
1000,127.000,0.872,0.488,0.630,0.724,0.922,1.278,1.634,2.637,13.930,1.146
1010,130.100,0.846,0.455,0.620,0.715,0.913,1.278,1.633,2.342,4.372,1.182
1020,137.200,0.805,0.455,0.605,0.692,0.887,1.163,1.439,2.155,3.909,1.241
1030,133.100,0.800,0.457,0.608,0.684,0.869,1.166,1.456,1.929,6.030,1.250
1040,127.800,0.844,0.487,0.620,0.710,0.914,1.248,1.623,2.530,6.844,1.185
1050,136.800,0.825,0.457,0.601,0.693,0.885,1.245,1.570,2.427,8.730,1.213
1060,123.600,0.835,0.473,0.607,0.700,0.903,1.192,1.629,2.300,6.039,1.198
1070,113.300,0.868,0.478,0.613,0.703,0.917,1.380,1.733,2.937,5.766,1.152
1080,117.400,0.876,0.482,0.619,0.709,0.944,1.377,1.759,2.729,6.228,1.142
1090,125.000,0.844,0.480,0.609,0.701,0.937,1.290,1.690,2.359,4.212,1.185
1100,121.000,0.865,0.471,0.618,0.705,0.917,1.377,1.759,2.512,8.715,1.156
1110,109.100,0.883,0.447,0.617,0.709,0.943,1.417,1.740,2.846,10.993,1.132
1120,70.700,0.885,0.502,0.653,0.753,0.970,1.324,1.632,2.575,4.475,1.129
1130,115.700,0.835,0.473,0.615,0.719,0.925,1.296,1.534,2.081,4.409,1.197
