Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,99.900,2.542,1.249,1.933,2.260,2.965,3.770,4.350,5.355,7.777,0.393
10,106.500,2.579,1.167,1.902,2.260,2.927,3.773,4.546,6.799,10.974,0.388
20,100.800,2.537,1.265,1.894,2.233,2.887,3.748,4.479,5.882,9.647,0.394
30,98.100,2.548,1.193,1.935,2.254,2.948,3.705,4.366,6.169,7.574,0.392
40,99.500,2.577,1.270,1.920,2.239,2.972,3.907,4.520,5.856,9.895,0.388
50,98.500,2.578,1.256,1.966,2.268,2.923,3.719,4.465,6.087,10.821,0.388
60,103.900,2.607,1.304,1.920,2.252,2.939,3.917,4.622,6.454,18.582,0.384
70,98.100,2.580,1.362,1.966,2.327,3.004,3.721,4.193,6.134,9.503,0.388
80,102.100,2.624,1.317,1.940,2.325,3.041,3.825,4.401,6.484,9.746,0.381
90,102.800,2.587,1.221,1.948,2.255,2.923,3.866,4.395,5.989,13.099,0.386
100,107.700,2.608,1.323,1.933,2.294,2.983,3.847,4.525,6.839,9.506,0.383
110,99.100,2.686,1.399,1.989,2.379,3.067,3.930,4.680,7.193,9.744,0.372
120,102.500,2.680,1.225,2.021,2.384,3.004,3.803,4.627,6.823,11.152,0.373
130,98.900,2.592,1.283,1.973,2.308,2.938,3.724,4.304,6.456,11.623,0.386
140,101.600,2.591,1.381,1.985,2.295,2.867,3.674,4.446,6.166,14.684,0.386
150,96.300,2.619,1.187,1.984,2.317,2.951,3.896,4.493,5.788,9.249,0.382
160,108.900,2.550,1.204,1.910,2.286,2.903,3.643,4.319,5.995,10.983,0.392
170,136.400,2.402,1.401,1.880,2.136,2.698,3.470,3.911,4.920,11.086,0.416
180,131.600,2.535,1.351,1.959,2.252,2.897,3.670,4.256,5.707,10.761,0.394
190,136.000,2.397,1.339,1.887,2.152,2.663,3.478,3.938,5.006,8.726,0.417
200,132.000,2.374,1.320,1.852,2.138,2.668,3.445,3.967,5.111,8.134,0.421
210,139.000,2.412,1.425,1.881,2.154,2.691,3.473,4.053,5.291,9.242,0.415
220,130.800,2.427,1.329,1.874,2.142,2.740,3.455,3.972,5.865,9.204,0.412
230,126.000,2.453,1.394,1.898,2.167,2.791,3.514,4.131,5.620,8.725,0.408
240,128.100,2.442,1.379,1.887,2.145,2.722,3.592,4.343,5.362,9.078,0.409
250,134.200,2.456,1.293,1.890,2.189,2.785,3.538,4.119,5.638,8.624,0.407
260,137.900,2.359,1.359,1.847,2.123,2.629,3.399,3.843,5.037,7.370,0.424
270,131.200,2.374,1.353,1.865,2.110,2.607,3.463,4.023,5.180,7.716,0.421
280,142.500,2.399,1.316,1.850,2.116,2.662,3.422,4.069,5.488,15.115,0.417
290,130.800,2.416,1.364,1.876,2.145,2.734,3.512,3.994,5.545,8.097,0.414
300,136.600,2.412,1.321,1.890,2.144,2.626,3.393,4.040,5.144,35.871,0.415
310,127.900,2.473,1.333,1.925,2.198,2.767,3.573,4.149,5.653,8.971,0.404
320,130.600,2.395,1.345,1.888,2.144,2.684,3.402,3.900,5.234,6.984,0.418
330,135.800,2.433,1.369,1.863,2.158,2.753,3.471,4.021,5.350,11.097,0.411
340,133.300,2.416,1.300,1.868,2.135,2.733,3.464,4.059,5.395,12.009,0.414
350,122.100,2.464,1.379,1.913,2.172,2.782,3.514,4.128,5.360,12.888,0.406
360,124.400,2.416,1.355,1.914,2.183,2.709,3.461,3.993,5.002,10.330,0.414
370,133.400,2.439,1.294,1.897,2.186,2.725,3.446,4.053,5.747,7.323,0.410
380,131.000,2.451,1.326,1.910,2.163,2.761,3.548,4.110,5.684,12.287,0.408
390,131.400,2.441,1.316,1.910,2.199,2.737,3.443,4.006,5.461,9.647,0.410
400,128.300,2.480,1.384,1.933,2.179,2.781,3.609,4.233,6.016,8.935,0.403
410,128.300,2.401,1.346,1.876,2.155,2.679,3.433,4.048,5.108,7.654,0.416
420,134.800,2.465,1.335,1.898,2.162,2.782,3.577,4.243,5.872,10.196,0.406
430,127.800,2.467,1.334,1.932,2.177,2.786,3.485,3.997,5.573,11.386,0.405
440,128.700,2.421,1.411,1.887,2.164,2.706,3.447,3.982,5.215,11.627,0.413
450,136.200,2.377,1.310,1.867,2.125,2.662,3.381,3.872,5.116,8.369,0.421
460,129.400,2.431,1.363,1.889,2.171,2.733,3.478,3.960,5.397,10.339,0.411
470,75.500,2.525,1.354,1.934,2.251,2.873,3.662,4.286,5.550,7.537,0.396
480,68.800,2.558,1.450,1.958,2.272,2.865,3.593,4.175,7.213,11.787,0.391
490,125.800,2.521,1.276,1.979,2.265,2.825,3.665,4.190,5.306,9.998,0.397
500,130.500,2.522,1.389,1.959,2.238,2.837,3.625,4.275,5.762,7.966,0.396
510,128.700,2.455,1.328,1.906,2.185,2.783,3.537,4.026,5.430,8.293,0.407
520,127.300,2.409,1.303,1.897,2.156,2.701,3.406,3.969,5.049,9.198,0.415
530,131.400,2.487,1.369,1.920,2.192,2.817,3.609,4.276,5.800,8.783,0.402
540,126.000,2.449,1.313,1.934,2.196,2.756,3.513,4.019,5.315,8.926,0.408
550,134.800,2.445,1.313,1.905,2.190,2.772,3.430,3.997,5.439,10.984,0.409
560,127.100,2.485,1.428,1.924,2.215,2.747,3.572,4.269,5.657,7.733,0.402
570,133.500,2.476,1.366,1.923,2.197,2.759,3.510,4.066,5.552,16.184,0.404
580,129.400,2.476,1.393,1.924,2.209,2.762,3.591,4.030,5.758,11.559,0.404
590,130.200,2.549,1.367,1.937,2.264,2.927,3.706,4.327,5.769,7.692,0.392
600,134.400,2.507,1.428,1.964,2.229,2.859,3.503,4.079,5.895,9.177,0.399
610,125.300,2.582,1.419,1.991,2.309,2.917,3.806,4.288,5.585,11.186,0.387
620,128.200,2.617,1.445,1.976,2.298,3.015,3.769,4.499,6.341,9.369,0.382
630,137.700,2.377,1.335,1.861,2.124,2.698,3.336,3.957,5.405,9.670,0.421
640,130.300,2.405,1.329,1.863,2.141,2.698,3.483,3.977,5.456,15.272,0.416
650,133.900,2.448,1.305,1.896,2.179,2.779,3.439,4.005,5.698,12.393,0.409
660,128.200,2.443,1.375,1.918,2.169,2.723,3.475,4.078,5.429,9.969,0.409
670,130.200,2.461,1.250,1.904,2.179,2.791,3.555,4.242,5.236,6.916,0.406
