Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,72.300,0.859,0.479,0.635,0.750,0.937,1.217,1.562,2.331,5.587,1.165
10,117.600,0.774,0.425,0.599,0.682,0.833,1.086,1.347,1.910,4.662,1.292
20,122.900,0.751,0.457,0.582,0.655,0.793,1.043,1.323,2.061,4.819,1.331
30,137.200,0.715,0.453,0.571,0.637,0.749,0.983,1.200,1.770,3.133,1.399
40,129.000,0.744,0.429,0.570,0.636,0.758,1.019,1.299,2.192,10.446,1.344
50,127.100,0.721,0.421,0.565,0.633,0.757,1.007,1.219,2.048,3.893,1.387
60,133.300,0.735,0.438,0.572,0.640,0.773,1.022,1.249,1.996,6.285,1.360
70,128.000,0.714,0.399,0.562,0.630,0.755,1.001,1.221,1.842,3.326,1.400
80,124.800,0.715,0.447,0.564,0.629,0.758,0.967,1.216,2.028,3.458,1.399
90,127.200,0.719,0.417,0.566,0.628,0.760,1.006,1.270,2.073,3.001,1.391
100,136.100,0.708,0.432,0.560,0.628,0.739,0.950,1.249,1.722,5.261,1.412
110,130.900,0.723,0.442,0.563,0.629,0.755,0.985,1.245,2.100,4.996,1.384
120,132.000,0.735,0.435,0.572,0.633,0.754,0.991,1.212,2.176,13.067,1.361
130,129.100,0.731,0.412,0.574,0.640,0.769,1.010,1.221,1.897,6.446,1.369
140,122.100,0.747,0.415,0.575,0.647,0.784,1.042,1.323,2.009,4.789,1.338
150,125.200,0.728,0.405,0.574,0.639,0.773,1.013,1.235,1.863,5.478,1.373
160,125.700,0.745,0.442,0.580,0.644,0.781,1.014,1.366,2.139,4.612,1.342
170,135.200,0.737,0.449,0.574,0.640,0.763,1.037,1.287,2.063,5.073,1.358
180,138.500,0.722,0.427,0.569,0.632,0.759,0.965,1.231,2.079,4.631,1.385
190,126.000,0.744,0.446,0.578,0.648,0.788,1.048,1.325,1.911,7.642,1.344
200,129.800,0.727,0.465,0.581,0.648,0.776,1.006,1.217,1.774,2.719,1.375
210,121.200,0.725,0.414,0.570,0.638,0.768,1.029,1.284,1.929,2.488,1.380
220,129.600,0.711,0.436,0.562,0.632,0.742,0.961,1.224,1.850,3.581,1.407
230,126.700,0.732,0.438,0.575,0.647,0.758,0.994,1.189,1.924,6.382,1.367
240,129.400,0.740,0.434,0.571,0.642,0.788,1.027,1.320,2.009,4.506,1.352
250,121.600,0.723,0.440,0.574,0.636,0.757,0.977,1.203,2.141,3.252,1.383
260,127.400,0.760,0.418,0.578,0.654,0.774,1.037,1.357,2.464,8.955,1.315
270,121.000,0.733,0.436,0.575,0.647,0.776,1.017,1.250,1.974,4.752,1.363
280,124.700,0.741,0.460,0.577,0.651,0.774,0.981,1.247,2.079,12.074,1.350
290,128.100,0.748,0.435,0.574,0.642,0.783,1.062,1.373,2.240,3.680,1.337
300,123.300,0.763,0.450,0.584,0.659,0.805,1.075,1.302,2.225,5.014,1.311
310,124.000,0.739,0.455,0.581,0.644,0.763,1.010,1.225,2.213,6.610,1.353
320,126.200,0.726,0.441,0.574,0.642,0.772,1.001,1.243,1.831,3.194,1.377
330,125.000,0.738,0.435,0.568,0.646,0.786,1.053,1.235,1.896,5.646,1.356
340,125.900,0.727,0.455,0.568,0.641,0.772,1.016,1.288,1.814,4.332,1.376
350,124.300,0.704,0.425,0.565,0.628,0.751,0.940,1.122,1.695,3.433,1.421
360,132.400,0.728,0.412,0.576,0.641,0.760,0.997,1.231,1.848,6.298,1.374
370,126.600,0.732,0.457,0.574,0.642,0.779,1.027,1.258,1.891,4.113,1.365
380,127.900,0.735,0.453,0.576,0.645,0.783,1.003,1.235,1.936,3.592,1.361
390,124.700,0.743,0.435,0.589,0.664,0.781,0.990,1.191,1.862,6.826,1.345
400,134.300,0.761,0.432,0.585,0.657,0.802,1.064,1.326,2.344,3.942,1.314
410,128.000,0.725,0.431,0.569,0.635,0.757,0.984,1.213,1.876,5.220,1.379
420,127.000,0.718,0.427,0.571,0.634,0.754,1.021,1.249,1.769,3.307,1.392
430,127.500,0.752,0.418,0.581,0.646,0.778,1.008,1.285,2.157,7.105,1.330
440,119.700,0.713,0.444,0.569,0.631,0.761,0.975,1.137,1.886,3.965,1.402
450,113.300,0.744,0.433,0.571,0.639,0.771,1.003,1.266,2.393,7.443,1.344
460,128.900,0.724,0.447,0.574,0.635,0.758,0.981,1.180,2.116,4.667,1.382
470,133.500,0.752,0.447,0.580,0.644,0.787,1.041,1.262,2.335,8.653,1.329
480,130.000,0.728,0.430,0.574,0.638,0.779,1.003,1.217,1.778,7.334,1.374
490,129.400,0.744,0.457,0.586,0.654,0.788,1.012,1.213,2.048,3.836,1.345
