Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,783.900,7.310,1.898,3.249,3.932,5.027,6.661,8.037,12.359,786.258,0.137
10,1322.900,4.360,1.824,3.180,3.798,5.011,6.700,7.984,10.988,20.528,0.229
20,1325.600,4.361,1.911,3.138,3.766,4.920,6.575,7.884,10.687,64.493,0.229
30,1378.000,4.203,1.734,3.065,3.655,4.810,6.569,7.784,10.109,17.286,0.238
40,1411.100,4.118,1.702,3.044,3.621,4.662,6.388,7.504,9.910,14.094,0.243
50,1388.700,4.173,1.738,3.003,3.592,4.707,6.481,7.599,10.311,33.587,0.240
60,1397.000,4.170,1.822,3.056,3.626,4.773,6.478,7.639,10.003,19.973,0.240
70,1386.900,4.133,1.852,3.038,3.610,4.681,6.385,7.499,9.995,45.026,0.242
80,1353.400,4.258,1.712,3.059,3.707,4.926,6.780,7.874,10.503,21.660,0.235
90,1378.100,4.113,1.784,3.008,3.602,4.642,6.397,7.522,10.223,23.422,0.243
100,1406.500,4.031,1.648,2.981,3.523,4.490,6.201,7.452,10.288,19.530,0.248
110,1416.500,4.009,1.780,2.951,3.499,4.558,6.265,7.296,9.781,18.993,0.249
120,1414.700,4.044,1.724,2.946,3.504,4.493,6.353,7.676,10.248,19.197,0.247
130,1422.100,4.072,1.767,3.008,3.559,4.606,6.327,7.358,9.978,16.210,0.246
140,1343.300,4.187,1.869,3.065,3.646,4.768,6.526,7.715,10.102,22.257,0.239
150,1374.000,4.086,1.812,2.984,3.583,4.669,6.243,7.411,9.511,54.708,0.245
160,1390.200,4.046,1.722,2.948,3.508,4.568,6.281,7.397,10.298,24.770,0.247
170,1410.600,4.007,1.725,2.936,3.492,4.523,6.348,7.350,9.526,15.081,0.250
180,1393.300,4.027,1.779,2.939,3.484,4.495,6.349,7.564,10.239,18.070,0.248
190,1380.400,4.028,1.761,2.994,3.519,4.485,6.164,7.383,10.264,20.410,0.248
200,1395.600,4.046,1.717,2.955,3.470,4.433,6.124,7.360,10.619,68.774,0.247
210,1339.700,4.259,1.810,3.075,3.656,4.841,6.750,7.992,11.023,20.959,0.235
220,1409.000,4.056,1.727,2.978,3.540,4.549,6.322,7.387,9.997,44.795,0.247
230,1371.300,4.174,1.783,3.005,3.571,4.618,6.460,7.883,11.222,36.485,0.240
240,1366.500,4.208,1.756,3.020,3.587,4.650,6.628,7.974,11.974,25.066,0.238
250,1381.500,4.157,1.804,3.036,3.606,4.662,6.430,7.679,10.397,20.666,0.241
260,1369.700,4.183,1.806,2.995,3.555,4.628,6.638,8.008,11.670,28.621,0.239
270,1306.800,4.377,1.690,3.142,3.769,5.120,6.913,8.115,11.017,19.878,0.228
280,1379.300,4.091,1.880,3.025,3.591,4.580,6.275,7.472,10.595,22.805,0.244
290,1383.200,4.104,1.761,2.999,3.560,4.586,6.298,7.497,10.288,92.229,0.244
300,1372.400,4.034,1.733,3.020,3.584,4.512,6.083,7.325,9.658,18.083,0.248
310,1355.300,4.160,1.860,3.079,3.651,4.699,6.465,7.563,9.868,15.420,0.240
320,1380.900,4.096,1.830,3.003,3.582,4.618,6.415,7.559,10.089,14.956,0.244
330,1325.900,4.288,1.851,3.066,3.678,4.820,6.709,7.920,11.031,77.405,0.233
340,1338.500,4.265,1.769,3.037,3.637,4.762,6.608,7.996,10.910,117.320,0.234
350,1410.500,4.043,1.763,2.978,3.527,4.538,6.252,7.436,10.038,22.821,0.247
360,1383.100,4.100,1.746,3.003,3.602,4.605,6.290,7.414,10.277,27.124,0.244
370,1345.400,4.200,1.706,3.068,3.665,4.705,6.440,7.767,10.287,67.409,0.238
380,1356.300,4.189,1.871,3.072,3.665,4.711,6.423,7.685,10.659,16.679,0.239
390,1363.100,4.135,1.844,3.064,3.627,4.631,6.359,7.574,10.205,15.985,0.242
400,1375.000,4.105,1.844,3.005,3.566,4.597,6.303,7.572,10.612,21.476,0.244
410,1393.100,4.070,1.741,2.994,3.533,4.528,6.217,7.596,10.344,36.796,0.246
420,1384.800,4.130,1.783,3.000,3.594,4.713,6.559,7.610,10.023,16.008,0.242
430,1391.900,4.130,1.774,3.011,3.585,4.659,6.525,7.756,10.220,18.888,0.242
