Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.600,3878.493,284.798,841.140,3625.782,5516.983,9579.419,9579.419,9579.419,9579.419,0.000
10,0.700,2669.435,371.023,1100.877,1483.236,3583.946,9245.024,9245.024,9245.024,9245.024,0.000
20,0.600,3809.880,111.573,1377.747,2058.164,3155.782,14674.513,14674.513,14674.513,14674.513,0.000
30,0.300,6060.305,122.776,122.776,3461.335,14596.803,14596.803,14596.803,14596.803,14596.803,0.000
40,0.700,1998.343,809.181,1188.395,1966.983,3042.686,3110.277,3110.277,3110.277,3110.277,0.001
50,1.500,1567.213,123.303,975.118,1512.624,1972.763,2832.340,3585.434,3585.434,3585.434,0.001
60,0.400,5131.241,1378.446,1914.370,4275.844,12956.302,12956.302,12956.302,12956.302,12956.302,0.000
70,0.900,3256.529,751.501,1553.846,1918.326,3331.739,13487.315,13487.315,13487.315,13487.315,0.000
80,0.400,4461.576,1054.629,1201.742,1430.576,14159.358,14159.358,14159.358,14159.358,14159.358,0.000
90,0.600,1429.266,131.855,768.229,1407.392,1927.562,3304.471,3304.471,3304.471,3304.471,0.001
100,0.900,4335.560,96.980,1084.478,1651.912,3388.240,14794.336,14794.336,14794.336,14794.336,0.000
110,0.300,2566.349,528.508,528.508,1797.025,5373.515,5373.515,5373.515,5373.515,5373.515,0.000
120,1.000,2680.602,268.063,948.326,1254.949,3131.721,13565.649,13565.649,13565.649,13565.649,0.000
130,0.500,2106.596,767.928,1505.973,1516.089,3336.363,3406.627,3406.627,3406.627,3406.627,0.000
140,1.500,1634.615,102.598,424.882,558.110,1929.111,3436.416,10037.759,10037.759,10037.759,0.001
150,0.200,8642.072,3403.458,3403.458,13880.685,13880.685,13880.685,13880.685,13880.685,13880.685,0.000
160,0.600,3212.652,1025.740,1045.395,3271.811,4013.814,8812.202,8812.202,8812.202,8812.202,0.000
170,0.400,5598.140,1933.126,3175.904,3329.722,13953.808,13953.808,13953.808,13953.808,13953.808,0.000
180,0.500,4305.198,278.020,1866.109,1900.311,3386.160,14095.389,14095.389,14095.389,14095.389,0.000
190,0.700,2219.537,125.068,126.100,1883.114,3313.943,5117.312,5117.312,5117.312,5117.312,0.000
200,0.500,5240.683,1853.374,2978.330,3309.109,5454.036,12608.564,12608.564,12608.564,12608.564,0.000
210,0.300,6139.026,94.176,94.176,5226.405,13096.498,13096.498,13096.498,13096.498,13096.498,0.000
220,0.900,1349.948,725.879,1072.960,1270.035,1551.579,1903.964,1903.964,1903.964,1903.964,0.001
230,0.600,3577.724,523.294,1279.207,3240.634,5230.597,8733.924,8733.924,8733.924,8733.924,0.000
240,0.900,2118.581,423.776,690.596,1606.612,3073.934,5435.338,5435.338,5435.338,5435.338,0.000
250,0.600,5102.847,552.158,951.435,3262.631,10336.731,14207.663,14207.663,14207.663,14207.663,0.000
260,0.400,2575.372,544.443,2726.795,3108.505,3921.745,3921.745,3921.745,3921.745,3921.745,0.000
270,0.600,3541.623,560.762,1458.055,1794.506,3324.751,12548.125,12548.125,12548.125,12548.125,0.000
280,0.600,3227.801,1113.240,1455.545,3314.586,3441.598,8530.936,8530.936,8530.936,8530.936,0.000
290,1.100,1653.647,112.284,564.547,1297.991,3077.055,3147.790,3282.673,3282.673,3282.673,0.001
300,0.600,3773.409,545.986,1064.291,3273.522,3391.519,12839.284,12839.284,12839.284,12839.284,0.000
310,0.900,2090.643,378.697,1381.889,1525.791,2910.147,5159.764,5159.764,5159.764,5159.764,0.000
320,0.800,4202.670,242.050,1916.996,3709.208,9809.221,10413.935,10413.935,10413.935,10413.935,0.000
330,0.100,12999.229,12999.229,12999.229,12999.229,12999.229,12999.229,12999.229,12999.229,12999.229,0.000
340,0.500,2060.311,753.508,1442.114,1484.311,1586.197,5035.425,5035.425,5035.425,5035.425,0.000
350,0.600,4103.719,1096.509,1498.532,2607.096,5133.535,12651.414,12651.414,12651.414,12651.414,0.000
360,1.000,1541.136,241.762,381.343,1633.307,1975.364,3648.189,3648.189,3648.189,3648.189,0.001
370,0.900,2828.454,288.607,342.360,1656.942,3376.274,13167.921,13167.921,13167.921,13167.921,0.000
380,0.700,2972.316,95.310,474.347,1759.032,1932.131,13029.348,13029.348,13029.348,13029.348,0.000
390,0.900,2367.448,330.198,1411.618,1544.667,1873.908,9321.785,9321.785,9321.785,9321.785,0.000
400,0.300,7055.198,3350.127,3350.127,4163.501,13651.967,13651.967,13651.967,13651.967,13651.967,0.000
410,0.500,4092.823,1054.362,1530.763,1738.014,2760.366,13380.610,13380.610,13380.610,13380.610,0.000
420,0.500,3348.445,1110.126,1362.756,1919.753,3342.591,9007.001,9007.001,9007.001,9007.001,0.000
430,0.900,1420.245,98.132,1003.121,1390.301,1945.151,2510.796,2510.796,2510.796,2510.796,0.001
440,1.100,2499.352,95.362,144.517,1394.320,2784.843,3410.995,13096.531,13096.531,13096.531,0.000
450,0.300,8920.951,1910.083,1910.083,10431.287,14421.483,14421.483,14421.483,14421.483,14421.483,0.000
460,0.400,2729.687,94.940,543.776,5096.109,5183.921,5183.921,5183.921,5183.921,5183.921,0.000
470,0.600,4096.217,753.287,1467.376,3164.810,3300.907,13401.579,13401.579,13401.579,13401.579,0.000
480,0.600,3825.117,265.672,1594.670,1962.741,3478.523,13891.812,13891.812,13891.812,13891.812,0.000
490,0.600,2587.025,559.571,773.201,1511.839,1564.809,9920.221,9920.221,9920.221,9920.221,0.000
500,0.600,2401.236,541.097,1110.482,2717.207,3343.404,5224.708,5224.708,5224.708,5224.708,0.000
510,1.100,2896.254,113.135,918.281,1407.778,2644.546,5180.770,14398.695,14398.695,14398.695,0.000
520,0.400,4465.683,309.634,1374.929,1805.674,14372.496,14372.496,14372.496,14372.496,14372.496,0.000
530,0.400,3027.827,1845.222,2997.156,3383.432,3885.496,3885.496,3885.496,3885.496,3885.496,0.000
540,1.000,2216.786,101.405,811.031,2725.854,3725.228,3759.672,3759.672,3759.672,3759.672,0.000
550,0.600,5398.579,96.217,730.602,3113.660,9962.799,15665.698,15665.698,15665.698,15665.698,0.000
560,0.100,9474.110,9474.110,9474.110,9474.110,9474.110,9474.110,9474.110,9474.110,9474.110,0.000
570,0.600,2234.529,1192.415,1630.181,2437.510,3105.978,3125.109,3125.109,3125.109,3125.109,0.000
580,0.900,2905.818,1451.866,1626.335,2160.779,3134.674,8885.631,8885.631,8885.631,8885.631,0.000
590,0.700,2839.770,436.725,566.667,1491.002,5396.117,8706.647,8706.647,8706.647,8706.647,0.000
600,0.800,1507.739,94.245,473.528,1168.343,2675.633,5071.733,5071.733,5071.733,5071.733,0.001
610,1.000,2379.901,271.250,733.309,1317.038,3055.113,9053.992,9053.992,9053.992,9053.992,0.000
620,1.200,1433.781,97.698,538.976,1602.326,1880.497,3076.134,3528.541,3528.541,3528.541,0.001
630,1.100,1841.678,551.335,809.902,1785.194,2978.581,3027.386,3622.078,3622.078,3622.078,0.001
640,0.800,3381.976,815.125,1549.415,2031.759,3309.007,12630.551,12630.551,12630.551,12630.551,0.000
650,0.900,1605.514,421.558,591.078,1586.510,2558.902,3408.804,3408.804,3408.804,3408.804,0.001
660,0.900,2808.818,94.914,536.451,1873.048,5274.687,8548.065,8548.065,8548.065,8548.065,0.000
670,0.700,1845.341,540.686,923.623,1597.507,3350.490,3359.833,3359.833,3359.833,3359.833,0.001
680,0.400,6321.023,3312.594,4031.470,5198.841,12741.185,12741.185,12741.185,12741.185,12741.185,0.000
690,0.900,1713.985,106.830,1462.067,1814.053,2402.775,2984.749,2984.749,2984.749,2984.749,0.001
700,1.300,2202.669,95.916,939.692,1349.789,2789.638,3244.743,8838.475,8838.475,8838.475,0.000
710,0.600,2033.198,337.741,1038.268,2640.967,3198.000,3908.236,3908.236,3908.236,3908.236,0.000
720,0.900,2333.656,286.968,1536.536,2431.892,2987.768,5129.754,5129.754,5129.754,5129.754,0.000
730,0.600,3815.750,793.494,1112.195,2839.696,3213.913,13205.619,13205.619,13205.619,13205.619,0.000
740,0.300,10229.236,1494.574,1494.574,14520.760,14672.375,14672.375,14672.375,14672.375,14672.375,0.000
750,0.100,4851.158,4851.158,4851.158,4851.158,4851.158,4851.158,4851.158,4851.158,4851.158,0.000
760,0.700,3839.597,346.483,670.692,1899.203,5201.179,13174.666,13174.666,13174.666,13174.666,0.000
770,0.800,1612.977,151.819,651.064,1671.046,3221.859,3697.729,3697.729,3697.729,3697.729,0.001
